Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
424419,2/12/2020 17:43,4870000000000000.0,"Bahringer, Schoen and Corkery",shopping_pos,25.08,Lauren,Williams,F,065 Jones Stravenue,Lake Oswego,OR,97034,45.4093,-122.6847,42817,Planning and development surveyor,28-05-1982,dc182bcd5a9aa13813d4567bea1ddabc,1386006213,44.541564,-122.469045,0
141111,17-03-2019 20:28,3540000000000000.0,Kemmer-Buckridge,misc_pos,58.3,Jason,Singh,M,4720 Anna Ways,Murrayville,IL,62668,39.5723,-90.2379,1512,Commercial/residential surveyor,7/5/2003,972a3d114020ddd59bc0460f8b1a652e,1332016085,39.547648,-89.630823,0
140293,9/8/2020 16:02,3580000000000000.0,Fadel-Hilpert,health_fitness,96.03,Lindsay,Wilson,F,7618 Gonzales Mission,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,17-07-1989,84abced519146ba996de1820d17fafa6,1376064170,39.553881,-94.294624,0
555736,25-08-2019 12:23,180000000000000.0,"Runolfsdottir, Mueller and Hand",entertainment,76.27,Craig,Dunn,M,721 Jacqueline Brooks,New Boston,IL,61272,41.2153,-90.9879,1504,Manufacturing engineer,5/10/1993,b61ff32448a01cb8077f5169ca131002,1345897392,40.72908,-90.123597,0
121495,9/3/2019 14:44,379000000000000.0,Pfeffer and Sons,shopping_pos,1.64,Tina,Zimmerman,F,3595 Susan Island Suite 063,Thomas,OK,73669,35.7382,-98.7388,1675,Barrister,1/5/1986,0d4550409c636bdc7f181b11a2500697,1331304262,34.910694,-99.566538,0
948913,14-01-2020 23:01,6540000000000000.0,"Durgan, Gislason and Spencer",home,47.38,Jodi,Rodriguez,F,5796 Lee Coves Apt. 286,Walnut Ridge,AR,72476,36.0244,-90.9288,7155,"Engineer, control and instrumentation",23-03-1977,9f997bd1710259714bfac505e70585a5,1358204462,36.746083,-90.657652,0
587401,6/9/2019 16:11,639000000000.0,Skiles LLC,home,81.18,Stephen,Lopez,M,696 Matthew Ford Suite 157,Olmsted,IL,62970,37.1935,-89.0933,639,Mechanical engineer,1/8/1982,ded1fe1f5b337db39fd952ae8629f05e,1346947913,37.24371,-89.114138,0
372831,21-06-2019 21:02,2240000000000000.0,Rau-Robel,kids_pets,111.39,Maria,Rosales,F,6611 Parrish Garden Apt. 428,Waynesfield,OH,45896,40.6072,-83.9585,2089,Building control surveyor,22-06-1963,6f318b44726a84b407348d7023f5db4a,1340312526,40.463807,-84.015446,0
348947,2/11/2020 21:12,3510000000000000.0,"Kuhic, Bins and Pfeffer",shopping_net,6.44,Francisco,Kemp,M,9554 Flores Drive,Arnold,MO,63010,38.4305,-90.387,35439,Land/geomatics surveyor,31-03-1985,96a9686c4e84a6e7d8e59952f790f27d,1383426730,38.156123,-89.523278,0
275445,1/10/2020 18:42,371000000000000.0,Kling-Ernser,entertainment,11.99,John,Davis,M,9670 Monroe Junctions,Rockwood,PA,15557,39.9373,-79.1865,3684,General practice doctor,10/1/1976,e4b1bc90f497f68bcf8288a577bd8984,1380652931,40.041619,-79.276401,0
98104,26-02-2019 23:39,630000000000.0,Reichert-Weissnat,travel,2.22,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,21-06-1978,0e5da42429ed918115db12d4e1d48156,1330299551,49.631461,-118.470151,0
901541,27-12-2019 09:44,4960000000000000.0,Deckow-O'Conner,grocery_pos,178.21,Stacy,Walsh,F,324 Donna Ridge Suite 651,Cressona,PA,17929,40.6284,-76.195,1606,Ecologist,10/5/1966,1877e27d1a3d38e760d453da34ec733e,1356601474,41.557628,-75.491907,0
416245,1/12/2020 0:22,379000000000000.0,"Olson, Becker and Koch",gas_transport,106.22,Debra,Eaton,F,72743 Brian Run,Paradise Valley,AZ,85253,33.5494,-111.9565,17047,Building surveyor,29-01-1935,0d05241c8a27d3a5f44df51b405ee7dd,1385857332,33.293188,-111.532529,0
123652,3/8/2020 14:12,4.4e+18,Padberg-Sauer,home,11.34,Marissa,Powell,F,474 Allen Haven,North Loup,NE,68859,41.4972,-98.7858,509,"Nurse, children's",15-09-1980,749338b0f03e386176237eec44479d79,1375539158,40.995542,-98.060477,0
236197,28-04-2019 21:01,3550000000000000.0,Collier LLC,home,8.8,Kayla,Obrien,F,7921 Robert Port Suite 343,Prairie Hill,TX,76678,31.6591,-96.8094,263,Barrister,30-05-1956,9712b54e8cb33d11c4ced9f3ca7ce02c,1335646883,31.069111,-97.31307,0
623196,22-09-2019 07:24,676000000000.0,Bartoletti-Wunsch,gas_transport,50.66,Alicia,Bishop,F,222 Freeman Islands,Whigham,GA,39897,30.8836,-84.3246,3430,"Editor, commissioning",25-03-1950,4fda420685ef2d2bfa8000bce1852f6a,1348298663,30.102755,-85.13975,0
298420,12/10/2020 0:03,180000000000000.0,"Swift, Bradtke and Marquardt",grocery_net,34.22,Mary,Juarez,F,35440 Ryan Islands,North Prairie,WI,53153,42.9385,-88.395,2328,Applications developer,6/1/1942,9490adc91875a06e756c39750c79a05b,1381536237,42.848422,-88.975336,0
32872,2/7/2020 13:29,371000000000000.0,Pacocha-Bauch,shopping_pos,6.48,Hannah,Thomas,F,1004 Willis Pass,Hedley,TX,79237,34.8698,-100.6806,513,Early years teacher,24-05-1976,f033d1b04b36266c9aecc6fbf5348ed7,1372771750,34.409306,-100.078023,0
462255,11/12/2020 12:55,345000000000000.0,Sawayn PLC,shopping_pos,4.53,Joanna,Hudson,F,2924 Bobby Trafficway,Sebring,FL,33872,27.4703,-81.4872,50835,Environmental consultant,30-01-1986,e9cbbf12d6364e46a49e14e80d32b5fc,1386766536,28.138074,-80.527622,0
254190,22-09-2020 04:58,4610000000000000.0,"Moen, Reinger and Murphy",grocery_pos,83.21,James,Lynch,M,5155 Mary Common Apt. 927,Utica,PA,16362,41.4798,-79.9403,1102,Garment/textile technologist,8/7/1989,c2db880d7f2e19d470eacff824e2e160,1379825935,41.142002,-80.940206,0
157619,15-08-2020 21:35,342000000000000.0,"McDermott, Osinski and Morar",home,92.29,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",9/11/1939,68f340b892fcb5c3f53a64075e9cacda,1376602539,64.537542,-165.109664,0
1001323,15-02-2020 07:35,6010000000000000.0,Murray-Smitham,grocery_pos,208.34,Terri,Bailey,F,508 Erin Mount,Daly City,CA,94015,37.6787,-122.478,107941,"Buyer, industrial",4/10/1991,e03dc11c7f13bf2129567a1fd9fdcba6,1360913750,37.793078,-121.566152,0
209847,2/9/2020 22:00,3500000000000000.0,Jast Ltd,shopping_net,5.39,Lori,Bishop,F,08056 Alvarado Club Suite 699,Phoenix,AZ,85086,33.8155,-112.1202,1312922,Counselling psychologist,30-11-1999,f94d81fa5f64cbee33d4c6f5948c73dd,1378159204,33.739972,-113.037012,0
720855,3/11/2019 21:59,4070000000000000.0,"Lubowitz, Terry and Stracke",personal_care,45.2,Stephanie,Hopkins,F,44089 Carrie Crossing Suite 954,Falls City,TX,78113,28.9814,-98.0156,2435,"Engineer, mining",9/4/1967,5d435a2c293e4c00917960f35a2eec03,1351979973,29.011388,-97.81863,0
347113,2/11/2020 8:36,2580000000000000.0,Hickle Group,shopping_pos,6.01,Joseph,Morgan,M,126 Underwood Drive,San Diego,CA,92128,33.0067,-117.069,1241364,Chartered public finance accountant,5/8/1959,ceabca620c186618d158024fdb9fd1ec,1383381397,33.438521,-116.926,0
535994,18-08-2019 11:54,2250000000000000.0,Williamson LLC,misc_pos,37.82,Jason,Hernandez,M,220 Frank Gardens,Hewitt,WI,54441,44.6437,-90.1031,828,Arts development officer,19-08-1991,f2f91077a9605aa152f861a2acea0663,1345290852,43.93317,-89.204314,0
155323,14-08-2020 20:46,180000000000000.0,Little Ltd,kids_pets,86.63,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",22-09-1972,7f113bb3f535135aacd0c9884e7d1b16,1376513211,34.526626,-117.034891,0
207938,1/9/2020 21:02,6010000000000000.0,Friesen-Ortiz,personal_care,17.98,Melvin,Wright,M,210 Dean Causeway Suite 130,Alton,IA,51003,42.9782,-96.0173,1700,"Engineer, land",19-12-2001,fa4d53bc80cfa3231e719dd9468441ba,1378069340,42.214994,-95.583837,0
45856,28-01-2019 04:56,180000000000000.0,Pacocha-Bauch,shopping_pos,8.68,Brianna,Page,F,0043 Henry Plaza,Brantley,AL,36009,31.571,-86.2743,2566,Exercise physiologist,26-06-1958,3ec4b4b7326b2f9be8bf558515dab5df,1327726611,31.977263,-86.939102,0
484394,15-12-2020 19:14,4860000000000000.0,Kerluke-Abshire,shopping_net,6.46,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",25-02-1990,2ac5a335b7e4d721b9538a66c8d3aedd,1387134846,41.621716,-75.138141,0
218734,21-04-2019 10:24,377000000000000.0,Dickinson-Rempel,misc_pos,7.01,Kara,Miles,F,2076 Thomas Roads Suite 970,Cassatt,SC,29032,34.3424,-80.5,4424,Lawyer,31-07-1961,cbebb064b1d3321ad7b6959dfc96585a,1335003897,34.574815,-80.813526,0
91484,22-07-2020 20:42,4.47e+18,Leannon-Nikolaus,travel,4.09,Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,22-11-1980,e35bddb7907f70bd6d9ef5989bc972cc,1374525773,42.125332,-71.768447,0
34742,3/7/2020 10:33,4840000000000000.0,"Wintheiser, Dietrich and Schimmel",misc_pos,9.38,Susan,Hardy,F,516 Brown Parks,Manistique,MI,49854,46.0062,-86.2555,6469,Trade mark attorney,12/4/1979,b5e0848f8b35a5ddc4258f96ad28b89b,1372847595,46.140625,-86.819961,0
342314,31-10-2020 10:09,584000000000.0,"Schneider, Hayes and Nikolaus",food_dining,57.78,Jennifer,Jones,F,5572 Kelly Plains Apt. 952,Waupaca,WI,54981,44.3481,-89.1101,15426,"Engineer, civil (contracting)",22-07-1936,bf080c3b75232db1c70b8b0820df3d08,1383214144,43.904336,-88.303539,0
142913,10/8/2020 9:38,344000000000000.0,DuBuque LLC,grocery_pos,59.37,Jeffrey,Munoz,M,836 Stephanie Union,Cedar,MI,49621,44.8605,-85.8138,3096,"Social research officer, government",11/10/1975,0eb344ac3547fb553b87c4f11e3a85d3,1376127488,45.285021,-86.487572,0
155726,15-08-2020 00:23,30200000000000.0,Runolfsson and Sons,grocery_net,26.72,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,22-01-1978,ce02d39fa133948006a116e9355a53b2,1376526238,44.125784,-87.925118,0
1144612,21-04-2020 17:37,30400000000000.0,"Haley, Jewess and Bechtelar",shopping_pos,57.21,Linda,Sanchez,F,6574 William Hill Apt. 375,Jermyn,PA,18433,41.5744,-75.5881,6508,Training and development officer,22-06-1981,4804ea03b840462df4cf9ee36fac7085,1366565866,40.928154,-74.879663,0
27930,17-01-2019 05:43,38900000000000.0,Kling Inc,gas_transport,78.19,Edward,Sanchez,M,594 White Dale Suite 530,Malad City,ID,83252,42.1808,-112.262,4154,Nature conservation officer,19-01-1962,bfa30dd992942f1a86fdf11b445e0519,1326779018,41.970368,-113.161338,0
282145,4/10/2020 21:40,342000000000000.0,Bogisich-Weimann,kids_pets,50.21,Bryan,Pugh,M,6366 French Field,Margaretville,NY,12455,42.1852,-74.6178,1988,Environmental health practitioner,23-05-1978,1ff15e720b9c636962e66151813cfd26,1380922846,42.285751,-73.713843,0
436146,6/12/2020 0:15,6010000000000000.0,Jast Ltd,shopping_net,1.69,Martin,Duarte,M,6251 Payne Flats Apt. 581,Luzerne,MI,48636,44.6001,-84.2931,864,General practice doctor,4/5/1942,4013eacf630d36efd2d5583eb8c9289a,1386288915,44.175146,-84.138571,0
360671,8/11/2020 13:30,4380000000000000.0,"Wintheiser, Dietrich and Schimmel",misc_pos,1.67,Nicholas,Mcmahon,M,2123 Jonathan Falls Suite 753,Heiskell,TN,37754,36.115,-84.0438,4729,"Geologist, wellsite",19-04-1982,99d277f93387ed207db72c2d9abe1fa2,1383917414,36.607367,-84.958122,0
335608,8/6/2019 15:44,6010000000000000.0,"Okuneva, Schneider and Rau",shopping_pos,158.36,Tammy,Ayers,F,1652 James Mews,Hinckley,OH,44233,41.2419,-81.7453,7646,Medical sales representative,15-09-1988,258b84528c9e9107825c221833fd1011,1339170263,41.233515,-81.752477,0
133701,14-03-2019 21:01,4.41e+18,Larkin Ltd,kids_pets,121.95,David,Cole,M,7955 Allen Orchard Apt. 336,Springfield,GA,31329,32.3697,-81.3618,9034,"Therapist, occupational",2/3/1969,4049b3d1ccc10f1b890d832ab4e8599f,1331758901,31.78906,-81.567653,0
579017,2/9/2019 8:57,4790000000000.0,"Schaefer, McGlynn and Bosco",gas_transport,61.54,Kristin,Williams,F,36366 Smith Road,Miamisburg,OH,45342,39.6321,-84.2675,36784,"Investment banker, corporate",31-07-1941,1a72200660edd77477f26dc3acf2ac99,1346576262,39.499645,-83.578701,0
1963,21-06-2020 23:38,6010000000000000.0,Pagac LLC,shopping_pos,3.69,Ashley,Whitney,F,4038 Smith Avenue,Jones,AL,36749,32.5104,-86.8138,1089,Materials engineer,2/11/1971,b49bc6bd737e0084c443135c3f9a1405,1371857898,32.936128,-87.695952,0
827731,9/12/2019 23:29,4060000000000000.0,Parker-Kunde,personal_care,12.44,Steven,Sanders,M,25955 Amy Via,Ozawkie,KS,66070,39.2136,-95.4404,2661,Theatre director,14-11-1948,3a0875611d96980acd25b63fe836f417,1355095789,39.242773,-95.731117,0
319580,2/6/2019 15:48,4.54e+18,Cartwright PLC,kids_pets,31.55,Nathan,Mendoza,M,767 Adam Mill Apt. 115,Espanola,NM,87533,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,18-07-1972,d8ef30506f383dc1c044df13920d0e9c,1338652128,36.21006,-105.986207,0
407600,29-11-2020 07:15,3530000000000000.0,Smitham-Boehm,grocery_net,37.33,Teresa,Stein,F,2838 White Fields Apt. 473,Brunson,SC,29911,32.9413,-81.1807,1725,Social researcher,5/12/1974,f1b6b804af528f52a9bbfaf7f67ea7cf,1385709314,33.063357,-81.953278,0
567120,29-08-2019 15:31,571000000000.0,"Reichert, Huels and Hoppe",shopping_net,4.01,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",12/7/1995,356f887739a4fd3eb0a93b85cdd1a908,1346254268,43.982073,-85.988273,0
532588,27-12-2020 06:32,4060000000000000.0,Rau and Sons,grocery_pos,89.63,Steven,Sanders,M,25955 Amy Via,Ozawkie,KS,66070,39.2136,-95.4404,2661,Theatre director,14-11-1948,230c0b3be64bbe7a0da8cf5fd3e70739,1388125936,38.728324,-95.871345,0
579996,2/9/2019 16:09,568000000000.0,Kulas Group,health_fitness,46.61,Dawn,Tucker,F,789 Herring Manors,Houston,TX,77007,29.7736,-95.4034,2906700,"Copywriter, advertising",16-12-1984,9115c45daacd7bf5471dc70091abee25,1346602142,29.44314,-95.54356,0
219026,7/9/2020 7:45,2720000000000000.0,"Bernier, Streich and Jewess",grocery_net,65.54,Audrey,Hickman,F,3325 Gregory Square,Mount Clemens,MI,48043,42.5978,-82.8823,16305,"Psychologist, sport and exercise",25-05-1927,c4b3b319d5a1e59789cda849f04388d4,1378539948,42.147633,-81.907102,0
1057387,15-03-2020 07:24,2660000000000000.0,Towne LLC,misc_pos,5.77,Alan,Howard,M,04139 Johnson Prairie Suite 401,Detroit,MI,48206,42.3749,-83.1087,673342,Trading standards officer,1/11/1946,3b64a7b6bd6289903478b066469a2bfb,1363332286,43.300425,-82.189323,0
324476,3/6/2019 20:50,4940000000000000.0,Bahringer-Streich,food_dining,58.97,Michelle,Johnston,F,3531 Hamilton Highway,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,7/11/1990,c428be73817b415a73e6b50abae2b1f3,1338756633,26.880736,-99.098041,0
