Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long
115218,6/3/2019 9:55,3560000000000000.0,"Rowe, Batz and Goodwin",grocery_pos,136.05,Robert,Ashley,M,1250 Christopher Prairie Suite 016,Port Costa,CA,94569,38.046,-122.1866,198,Armed forces training and education officer,31-03-1959,ceeb8c1a1c987e219e661147e007788d,1331027741,38.535324,-122.189238
247154,4/5/2019 5:46,30400000000000.0,Harris Inc,gas_transport,57.67,Danielle,Evans,F,76752 David Lodge Apt. 064,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,13-10-1991,31613a0ecda2aa660c97851fd11c0183,1336110373,43.151221,-77.244648
1157362,27-04-2020 18:32,3550000000000000.0,Conroy Ltd,shopping_pos,5.75,Keith,Sanders,M,8030 Beck Motorway,Moorhead,MS,38761,33.4783,-90.5142,2870,Chartered public finance accountant,5/3/1999,612756c4aebcb94051fd66a74c091cc0,1367087544,32.623236,-91.465864
332585,7/6/2019 14:26,213000000000000.0,Waelchi-Wolf,kids_pets,18.38,Zachary,Allen,M,69252 Oconnor Alley Apt. 153,Ollie,IA,52576,41.2001,-92.1354,568,Commercial horticulturist,24-07-1969,0c2717189b381a48c59289d4e01fc6ce,1339079192,40.624013,-92.179725
1083151,25-03-2020 20:03,2250000000000000.0,"Metz, Russel and Metz",kids_pets,13.44,Barbara,Nelson,F,7337 Browning Falls Suite 027,Valdosta,GA,31605,30.946,-83.2474,94325,Educational psychologist,8/9/1987,6f81f1f8c1c8e572cdb0594e38aae211,1364241800,30.959722,-83.645404
906153,28-12-2019 11:50,348000000000000.0,"Baumbach, Feeney and Morar",shopping_net,3.01,Thomas,Gibson,M,32745 Silva Springs Suite 040,Grand Bay,AL,36541,30.4983,-88.3282,15647,Armed forces logistics/support/administrative officer,22-03-1948,318e6a6041b58556eabf22d29b1321ab,1356695414,31.476179,-88.308591
282559,5/10/2020 0:45,4.21e+18,Stamm-Witting,shopping_net,9.75,Valerie,Clark,F,7402 West Ranch,Lowell,OR,97452,43.921,-122.7806,1420,Systems analyst,11/11/1965,1e4d2daf8f70644e6a4d639f9f31a2d1,1380933907,43.977129,-121.893876
21182,13-01-2019 18:52,2250000000000000.0,Kuhn Group,food_dining,3.66,Jacob,Weber,M,29156 Mark Park Apt. 108,Utica,KS,67584,38.6411,-100.138,269,Product/process development scientist,11/11/1962,a6ddddf0d585f593e9047ad5d1a4c70f,1326480736,39.611665,-99.284342
1101963,3/4/2020 15:33,4050000000000000.0,Hilpert-Conroy,kids_pets,108.48,Cheryl,Melton,F,5053 Bell Crescent Apt. 255,Fullerton,NE,68638,41.366,-98.0054,1749,"Surveyor, mining",7/5/1973,be06c313033ba4573ae58f6489b88204,1365003198,40.607509,-97.556505
1071368,21-03-2020 06:58,180000000000000.0,Schmitt Inc,gas_transport,48.19,Brianna,Page,F,0043 Henry Plaza,Brantley,AL,36009,31.571,-86.2743,2566,Exercise physiologist,26-06-1958,56d5cabe9fadf57abab7158dea641c5e,1363849139,32.162203,-86.486883
950125,15-01-2020 22:53,30100000000000.0,Padberg-Sauer,home,9.33,Kathleen,Thompson,F,199 Patterson Fords Apt. 132,Naples,FL,34112,26.1184,-81.7361,276002,"Pilot, airline",23-06-1934,b1b6308d5693969f3f036bcf886c1e4d,1358290383,26.801671,-80.934472
501532,20-12-2020 09:27,377000000000000.0,Brown PLC,misc_net,2.07,Billy,Gallagher,M,673 Delgado Burg,Greenwich,NJ,8323,39.4055,-75.3209,804,Insurance risk surveyor,25-03-1965,7629d7e20fa05807d1e86c908c946f61,1387531636,39.349873,-76.035465
527264,25-12-2020 21:35,3540000000000000.0,"Witting, Beer and Ernser",home,36.66,Mark,Nguyen,M,62631 Ashley Ramp Apt. 965,Sea Island,GA,31561,31.1989,-81.3322,298,"Engineer, structural",22-04-1963,58c1bb056d4ce0274349a6c8a7592d88,1388007319,31.905013,-80.479557
648821,3/10/2019 14:13,4.76e+18,Waelchi-Wolf,kids_pets,255.82,Francisco,Hernandez,M,980 Smith Gardens,Gainesville,TX,76240,33.6547,-97.1583,26120,"Engineer, manufacturing",6/1/1954,8abd26c91ec11de19437d58a602bb777,1349273587,34.585629,-97.088798
240042,30-04-2019 03:30,4.98e+18,Harber Inc,gas_transport,80.69,Patrick,Massey,M,7812 Shane Shoals Apt. 607,North Haverhill,NH,3774,44.0978,-72.0191,1966,Structural engineer,27-10-1947,3d4130eacc80b52a9b97c93851f52ec4,1335756616,44.637048,-72.710572
821383,8/12/2019 23:14,4380000000000.0,Gibson-Deckow,entertainment,5.61,John,Robertson,M,209 Austin Stream Apt. 231,Indianapolis,IN,46290,39.9347,-86.1633,910148,Academic librarian,22-09-1987,822ecfbab5729071afda8a8bc9f95f0b,1355008463,40.727698,-86.469119
374308,14-11-2020 09:37,565000000000.0,Gislason Group,misc_pos,31.87,Anthony,Allen,M,6993 Carr Lodge Apt. 311,Jordan Valley,OR,97910,42.8801,-117.281,641,Economist,24-11-1993,d91aadf135000b365494749440efa55e,1384421835,42.685063,-117.841871
713165,31-10-2019 22:06,30500000000000.0,"Kihn, Brakus and Goyette",personal_care,1.31,Stephanie,Crane,F,144 Martinez Curve,Central,IN,47110,38.097,-86.1723,350,Counsellor,5/1/1955,14e40b67823702983f7f211510244794,1351721215,38.577886,-86.495531
184711,24-08-2020 22:32,3600000000000000.0,Schmitt Ltd,misc_net,2.15,David,Hughes,M,707 Butler Parkways Apt. 747,Omaha,NE,68117,41.2064,-95.9953,518429,"Surveyor, land/geomatics",10/10/1995,7457f9994be946fb27f0306bf9e99cac,1377383568,40.888383,-96.805766
636774,28-09-2019 12:37,4600000000000.0,Schmeler Inc,misc_pos,4.77,Mark,Rivera,M,383 Contreras Hills Suite 658,Humble,TX,77338,30.0041,-95.2825,194500,Tax adviser,18-12-1990,b3adbd40ce20b69e9c386a808c21c215,1348835866,30.833956,-96.232879
649038,3/10/2019 16:44,3580000000000000.0,Sawayn PLC,shopping_pos,40.47,Debbie,Hughes,F,0182 Owens Burgs Suite 480,Diamond,OH,44412,41.0935,-81.0425,2644,"Engineer, biomedical",25-08-1983,069fde9eddf51cd4f2374ce32f83e098,1349282649,40.355934,-81.510464
660981,8/10/2019 8:38,5560000000000000.0,Mayert Group,shopping_pos,2.71,Jack,Hill,M,5916 Susan Bridge Apt. 939,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,21-12-1945,05c816e5c82fa158e3ae7e57f53e4e0d,1349685531,42.412029,-121.863296
141623,17-03-2019 23:51,4680000000000.0,Herzog Ltd,misc_pos,432.12,Joseph,Gonzalez,M,319 Wendy Fort Suite 179,Murfreesboro,TN,37132,35.8596,-86.421,158701,"Journalist, newspaper",6/3/1978,90f378d0daeba0815f123200b2e4df6b,1332028279,35.062407,-86.776286
554337,31-12-2020 16:06,4.51e+18,Swift PLC,kids_pets,16.35,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,25-07-1983,6a8fa8bf28c18c69b3420b38d89e9550,1388505972,39.250198,-80.064689
723294,4/11/2019 17:50,3540000000000000.0,"Gutmann, McLaughlin and Wiza",home,74.22,Lawrence,Frost,M,82448 Tucker Cliff,Kittery Point,ME,3905,43.0976,-70.7121,1780,Broadcast engineer,21-01-1983,f38fc7aac12e216d328ed8f6073246ab,1352051426,43.92764,-71.170065
311240,17-10-2020 19:17,2320000000000000.0,"Bahringer, Bergnaum and Quitzon",home,21.35,William,Martinez,M,0207 Griffith Plains Apt. 544,Louisiana,MO,63353,39.4336,-91.0664,4593,"Teacher, early years/pre",11/11/1940,167d20586280f57d84484fca9f170743,1382037435,39.530542,-91.448052
291304,23-05-2019 14:56,6010000000000000.0,"Bahringer, Bergnaum and Quitzon",home,19.68,Maria,Roy,F,58665 Nicholas Ford Suite 348,Sheffield,MA,1257,42.1001,-73.3611,2121,Radio producer,14-10-1973,7106ac3b15f5c1c631b9b8aa240f8ac5,1337784970,42.048005,-74.051198
538688,19-08-2019 02:32,213000000000000.0,Volkman Ltd,misc_net,5.83,Adam,Santos,M,725 Jo Trace Apt. 102,Glendale,CA,91206,34.1556,-118.2322,172817,Advertising account planner,30-07-1982,9b40e8db4cbd527bc9d883fd4e69700f,1345343556,34.733374,-117.63368
769455,25-11-2019 10:23,4000000000000000.0,Bartoletti-Wunsch,gas_transport,54.75,Danielle,Hayden,F,03368 Michelle Trail,Gregory,AR,72059,35.1791,-91.2594,37,"Lecturer, further education",1/1/1958,efcaae2000d647fe9a344695a7fd0c99,1353839031,34.670375,-91.229626
65692,13-07-2020 21:43,3560000000000000.0,Ernser-Feest,home,30.98,Olivia,Stephenson,F,292 Cassidy Oval,Lowville,NY,13367,43.7893,-75.4156,8830,Theme park manager,29-03-1991,3689df4514c1a39c8d34274c01af5563,1373751809,43.286985,-74.889338
63777,7/2/2019 9:52,6600000000000000.0,"Quitzon, Green and Bashirian",shopping_pos,5.37,Kyle,Wright,M,610 Samantha Park Suite 149,Whittemore,IA,50598,43.0261,-94.4064,912,Optometrist,16-05-1968,7ac9ac707fd777dba038eb4bb2a60a19,1328608366,42.215837,-94.692196
1065489,17-03-2020 21:33,3600000000000000.0,White and Sons,home,36.79,Dustin,Roberts,M,3283 James Station,Fayetteville,NC,28314,35.0583,-79.008,238602,"Scientist, research (maths)",14-05-1993,e67a182d703cb2eca3ef0e6b9bebf6ca,1363556035,34.361396,-78.931411
598610,11/9/2019 2:58,504000000000.0,Friesen-Stamm,gas_transport,57.26,Andrew,Mcgee,M,4130 Tiffany Glen Apt. 562,San Antonio,TX,78248,29.5894,-98.5201,1595797,Exhibition designer,28-12-1975,c05cb14f5df01706b6964e284647e32a,1347332280,30.29738,-97.84008
462368,11/12/2020 13:27,4240000000000000.0,Fritsch LLC,travel,8.1,Carl,Hernandez,M,9134 Darryl Flat Suite 916,Paulding,OH,45879,41.141,-84.5722,6284,Secondary school teacher,27-03-1936,60b373fe7f0808fe5a44ca60ccbf642d,1386768463,40.890726,-84.744248
1008554,18-02-2020 20:48,3570000000000000.0,"Prosacco, Kreiger and Kovacek",home,18.31,Ryan,Arnold,M,2056 Michael Wells Apt. 348,Prairie Creek,IN,47869,39.4336,-87.4101,137,Materials engineer,12/3/1967,5d3cee86b5c600625db275652333c2c0,1361220508,39.034968,-87.945779
449268,8/12/2020 5:58,4.31e+18,"Bins, Balistreri and Beatty",shopping_pos,111.08,Phillip,Delacruz,M,26678 Lisa Locks Apt. 904,Iliff,CO,80736,40.7692,-103.0968,648,Community arts worker,21-09-1969,cb00ef103407dc4940ee8bce42968c27,1386482309,41.529853,-103.688943
455663,9/12/2020 13:53,30400000000000.0,"Quitzon, Green and Bashirian",shopping_pos,6.98,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,5/2/1982,51553c2de6bb77f57db99e8295b7ef42,1386597230,35.106757,-95.200203
560327,26-08-2019 15:58,4980000000000.0,"Reinger, Weissnat and Strosin",food_dining,26.35,Joseph,Spencer,M,7854 Stephanie Island Suite 788,Holloway,OH,43985,40.0113,-80.9701,128,Child psychotherapist,3/4/1946,35d665b7cdc1a09bc9a8f8f1a9e775f1,1345996712,39.122836,-80.632218
515605,11/8/2019 8:33,376000000000000.0,"Schuppe, Nolan and Hoeger",shopping_pos,3.37,Nathan,Mayer,M,478 Donovan Corners Apt. 803,Schaumburg,IL,60193,42.0144,-88.0935,92294,Claims inspector/assessor,1/5/1969,05600d42cbc45f87446de68ccde18725,1344674000,42.568111,-88.249751
495706,18-12-2020 21:38,3530000000000000.0,Abbott-Rogahn,entertainment,226.76,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",13-07-1975,9ae4d08bfbaa501bce0ef893605cbfcf,1387402729,43.04283,-72.783708
526171,25-12-2020 15:49,5290000000000000.0,Ruecker-Mayert,kids_pets,7.11,Amanda,Adams,F,08580 Jeremy Falls,Bay City,OR,97107,45.5197,-123.8761,1530,Colour technologist,24-11-1986,623f8ec3b8e5ee23c226221ad0eab4df,1387986571,46.203571,-123.845234
337043,28-10-2020 08:33,676000000000.0,Berge LLC,gas_transport,85.43,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",28-12-1974,694ca4411df14d693e8ee25543f32a27,1382949228,41.973166,-83.474293
447952,18-07-2019 12:03,346000000000000.0,Lubowitz-Walter,kids_pets,20.57,Donna,Moreno,F,32301 Albert River Suite 364,Ronceverte,WV,24970,37.7418,-80.4626,4575,Statistician,22-10-1991,1196b66c895b0de17db850d02731b5e1,1342613017,38.673682,-80.451911
825855,9/12/2019 17:26,4430000000000000.0,Conroy-Emard,food_dining,98.84,Alicia,Morales,F,4456 Dunn Roads,Meredith,CO,81642,39.3199,-106.6596,61,Public relations account executive,4/11/1939,c07521285c5411c39432f1a9a1ed5015,1355073969,39.921404,-106.930069
1020824,26-02-2020 00:45,372000000000000.0,"Heathcote, Yost and Kertzmann",shopping_net,9.83,Brent,Terrell,M,502 Rice Plaza Apt. 979,Port Ewen,NY,12466,41.8948,-73.9767,2471,Heritage manager,21-01-1966,68518138c8cfc5ffadfcd34a4405c7e8,1361839517,41.61359,-74.166752
430009,12/7/2019 1:41,6010000000000000.0,"Reilly, Heaney and Cole",gas_transport,86.6,Tammy,Ayers,F,1652 James Mews,Hinckley,OH,44233,41.2419,-81.7453,7646,Medical sales representative,15-09-1988,7cb54ddb10bf2ffcd491f3eb6d3d882d,1342057273,41.47552,-82.662232
98142,25-07-2020 20:47,30000000000000.0,"Schiller, Blanda and Johnson",home,77.71,John,Peters,M,555 Michael Burgs,Mayersville,MS,39113,32.9013,-91.0286,595,Technical brewer,3/9/1979,bc5e5fd2150604ccad8b73bef03a37e4,1374785225,33.503626,-91.159037
290089,7/10/2020 22:17,343000000000000.0,Christiansen-Gusikowski,misc_pos,13.75,Gloria,Wallace,F,234 Bridges Wells Apt. 389,Center Tuftonboro,NH,3816,43.6849,-71.2551,1368,"Optician, dispensing",5/8/1971,c846704ffb6a19aa890c25d8b3206202,1381184226,43.91892,-71.734704
310521,17-10-2020 11:23,6010000000000000.0,Padberg-Welch,grocery_pos,106.07,Kaitlyn,Newman,F,098 Stewart Hill,Slayden,TN,37165,36.2835,-87.4581,70,Prison officer,22-06-1956,624f92769f72123ffeea507c6b685e61,1382009032,36.923869,-86.724708
886176,23-12-2019 07:56,4380000000000000.0,Flatley-Durgan,misc_net,7.86,Michelle,Russell,F,55505 Christy Via,Hawley,MN,56549,46.9777,-96.4092,4508,Naval architect,24-04-1949,36552ac9697cada424c5f35744ed7aa8,1356249385,46.196749,-96.090694
49568,7/7/2020 21:18,4760000000000.0,Champlin-Casper,home,84.19,Robert,Evans,M,01892 Patricia Vista Apt. 828,Sachse,TX,75048,32.9643,-96.6012,20328,Site engineer,20-06-1985,55e29ece3e29b827cbc2ee093b29d564,1373231913,32.106082,-95.91508
99812,28-02-2019 12:25,30400000000000.0,Kuhn Group,food_dining,22.13,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,5/2/1982,a3248fbb5107e3a4cabdc40650f96f3c,1330431916,35.918903,-95.509983
845592,14-12-2019 19:23,6010000000000000.0,Ernser-Feest,home,46.08,Jacqueline,Marsh,F,950 Sheryl Spurs,Dunlevy,PA,15432,40.1151,-79.8627,427,Mining engineer,5/2/1951,954218db5ab2eb976a3ab250eb0efd78,1355512981,39.661194,-80.679145
574190,1/9/2019 1:47,213000000000000.0,"Kutch, Hermiston and Farrell",gas_transport,44.66,Christine,Davis,F,736 Moss Motorway Suite 549,Humboldt,AZ,86329,34.5189,-112.2523,1179,"Civil engineer, contracting",20-01-1955,749f7ff0411bb479df433a869f81c87e,1346464021,35.171391,-112.379867
387876,26-06-2019 21:42,4650000000000000.0,Bauch-Raynor,grocery_pos,61.31,Monica,Tucker,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",6/6/1999,ce47a3b4f988d8380b7a2bbc536bec93,1340746942,37.217582,-85.695434
512132,22-12-2020 02:08,30200000000000.0,Emmerich-Luettgen,grocery_net,54.99,Michael,Rodriguez,M,172 Paula Inlet Apt. 650,Cross Plains,TX,76443,32.1482,-99.1872,1897,Chief Operating Officer,19-04-1953,a407c562a166411e6ec071bde09d746a,1387678095,32.98167,-98.444044
130933,5/8/2020 19:19,2710000000000000.0,"Wiza, Schaden and Stark",misc_pos,10.15,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",22-02-1977,8d6fcbae62bf8d650f36a07ab4b74613,1375730378,30.899523,-90.603124
258153,23-09-2020 22:55,2280000000000000.0,Hackett Group,travel,9.55,Thomas,Mathis,M,26615 Nelson Lane,Moores Hill,IN,47032,39.0945,-85.0638,3289,Sub,22-11-1969,50d7f89ac3291d84ff24cae3da5c42df,1379976907,39.663912,-84.753326
442213,15-07-2019 18:49,5130000000000000.0,Gulgowski LLC,home,94.03,Ronald,White,M,25713 Hamilton Grove Apt. 903,Beaverdam,OH,45808,40.8314,-83.9758,349,Museum/gallery conservator,25-12-1978,a24743046ea3829d1ceffb5fb42bab59,1342378179,41.135814,-84.734871
442714,7/12/2020 5:40,343000000000000.0,Pagac LLC,shopping_pos,7.06,Jodi,Foster,F,551 Zachary Freeway,Bailey,NC,27807,35.8072,-78.0892,6629,Call centre manager,13-08-1962,a0b49842b5cb013f04d15d8420aad3d4,1386394842,35.17374,-78.23681
900484,27-12-2019 01:07,180000000000000.0,Rodriguez Group,gas_transport,46.04,Jared,Camacho,M,4257 Perez Mall,Canton,OH,44702,40.8027,-81.3739,192805,Building control surveyor,30-06-1963,1fa13af58f7deb53d7228ab7b50c1314,1356570436,41.112507,-81.40805
889561,23-12-2019 20:48,4.54e+18,"Romaguera, Wehner and Tromp",kids_pets,5.41,Nathan,Mendoza,M,767 Adam Mill Apt. 115,Espanola,NM,87533,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,18-07-1972,4139ff2896b95a93688482291be64a72,1356295680,36.437466,-107.015352
